src,src_port,dst,dst_port,original_dataset,original_label,event_generator,event_signature,event_priority,ndpi_risk,ndpi_detected_protocol,payload_bytes_first,packet_pay_size-3,C_packets_rst_avg,packet_pay_size-2,dst2src_packets_rate,C_packets_rst_min,C_packets_urg_avg,src2dst_packets_rate,C_packets_fin_avg,C_idletime_max,http_response_status_code,packet_header_size-4,dst2src_inter_time_std,packet_header_size-0,C_packets_rst_std,payload_bytes_max,src2dst_header_bytes_min,C_dst2src_packets_rate_max,packet_pay_size-8,dst2src_header_bytes_min,http_request_version,src2dst_header_bytes_max,dns_query_type,payload_bytes_avg,dst2src_header_bytes_std,C_dst2src_packets_rate_min,C_packets_syn_std,C_src2dst_packets_rate_max,packet_header_size-7,C_packets_syn_max,C_tcp_retransmissions_max,packets_fin,src2dst_pay_bytes,packet_header_size-6,dst2src_packets,inter_time-10,C_packets_ack_avg,src2dst_header_bytes,inter_time-9,C_idletime_std,C_dst2src_pay_bytes_rate_max,packet_direction-5,C_src2dst_pay_bytes_max,packet_direction-0,packet_direction-1,inter_time-7,packets_rst,C_packets_psh_min,C_src2dst_pay_bytes_rate_avg,src2dst_inter_time_std,C_src2dst_pay_bytes_avg,dns_num_answers,packet_pay_size-7,C_number_of_contacts,detection_completed,inter_time-6,src2dst_header_bytes_std,packets_ack,C_packets_rst_max,inter_time-3,dst2src_header_bytes_avg,C_duration_avg,C_packets_ack_min,dns_query_class,C_dst2src_pay_bytes_std,C_packets_syn_avg,C_packets_psh_max,C_src2dst_packets_rate_avg,dst2src_pay_bytes_min,C_dst2src_header_bytes_min,src2dst_inter_time_max,src2dst_pay_bytes_min,http_method,C_packets_psh_avg,C_dst2src_header_bytes_std,C_packets_ack_std,flow_use_time,inter_time-2,dst2src_inter_time_min,C_dst2src_packets_rate_std,packet_pay_size-4,C_packets_ack_max,C_dst2src_packets_max,C_src2dst_pay_bytes_min,dns_num_queries,inter_time-8,packet_header_size-8,src2dst_pay_bytes_max,protocol,dst2src_pay_bytes_max,http_content_type,C_src2dst_packets_avg,C_src2dst_pay_bytes_rate_std,response_rel_time,packet_pay_size-10,inter_time_min,packet_header_size-1,dns_reply_code,inter_time_avg,C_packets_psh_std,src2dst_header_bytes_avg,packet_direction-9,C_dst2src_packets_std,packet_header_size-9,src2dst_packets,payload_bytes,packet_pay_size-5,http_num_request_headers,packet_header_size-2,packet_direction-4,packet_direction-7,C_tcp_retransmissions_min,C_duration_min,C_dst2src_pay_bytes_avg,dst2src_pay_bytes_avg,C_dst2src_header_bytes_max,C_packets_syn_min,packet_direction-3,http_num_response_headers,C_packets_fin_std,C_duration_std,C_src2dst_header_bytes_max,packets_syn,C_dst2src_header_bytes_avg,C_src2dst_pay_bytes_rate_min,packets_psh,src2dst_pay_bytes_rate,C_tcp_retransmissions_std,C_idletime_avg,C_src2dst_packets_rate_min,C_src2dst_packets_max,C_duration_max,packet_direction-6,C_packets_fin_max,C_packets_urg_std,C_src2dst_packets_rate_std,dst2src_header_bytes,payload_bytes_std,C_dst2src_pay_bytes_rate_avg,src2dst_inter_time_min,flow_duration,C_src2dst_pay_bytes_std,C_src2dst_packets_min,C_packets_urg_min,inter_time-5,dst2src_header_bytes_max,packet_direction-10,dst2src_inter_time_max,packet_pay_size-0,packets,inter_time_max,inter_time_std,C_src2dst_packets_std,packets_urg,packet_direction-8,dst2src_pay_bytes_rate,src2dst_inter_time_avg,dns_rsp_type,flow_idle_time,packet_header_size-3,inter_time-0,C_dst2src_pay_bytes_min,dst2src_pay_bytes_std,C_src2dst_header_bytes_avg,C_dst2src_packets_avg,bytes,packets_without_payload,C_tcp_retransmissions_avg,inter_time-1,C_src2dst_pay_bytes_rate_max,inter_time-4,C_dst2src_pay_bytes_max,packet_pay_size-6,dst2src_pay_bytes,payload_bytes_min,tcp_retransmissions,C_packets_fin_min,C_dst2src_packets_rate_avg,dst2src_inter_time_avg,packet_header_size-5,packet_pay_size-1,packet_header_size-10,C_dst2src_pay_bytes_rate_std,src2dst_pay_bytes_std,C_idletime_min,C_src2dst_header_bytes_std,src2dst_pay_bytes_avg,packet_pay_size-9,packet_direction-2,C_src2dst_header_bytes_min,C_dst2src_packets_min,C_packets_urg_max,C_dst2src_pay_bytes_rate_min
147.32.84.165,1025,147.32.80.9,53,CTU13/7,From-Botnet-V48-UDP-DNS,,,,Acceptable,5/DNS,35,38,0,147,0,0,0,0,0,77647,404,28,18165,28,0,385,28,1000,91,28,1,28,-1,83,0,0,0,2000,28,0,0,0,1224,28,17,0,0,1008,0,23399,224,0,220,1,1,0,0,0,7,12782,122,-1,34,10,1,509,0,0,0,5747,28,476,0,-1,205,0,0,238,91,28,78113,29,2,0,21,0,4765,0,0,298,38,0,3,60,-1,0,28,38,UDP,385,image/png,3,18,5747,38,0,28,-1,2052,0,28,1,1,28,36,4401,151,1,28,1,1,0,0,317,186,84,0,1,0,0,521,168,0,47,0,0,0,0,11556,0,6,1463,1,0,0,596,476,87,24,0,108771,50,2,0,0,28,1,78646,35,53,77647,10560,1,0,0,0,3021,-1,104006,28,0,95,87,100,1,6627,0,0,0,63,0,770,34,3177,29,0,0,119,6398,28,35,28,66,3,1726,41,34,38,0,56,1,0,0
147.32.84.165,137,147.32.84.255,137,CTU13/7,,,,,Acceptable,10/NetBIOS,50,50,0,50,0,0,0,5,0,0,404,28,0,28,0,50,28,0,50,0,1,28,-1,50,0,0,0,5,28,0,0,0,900,28,0,53,0,504,0,0,0,1,900,1,1,0,0,0,0,293,900,-1,50,1,1,60,0,0,0,0,0,3030,0,-1,0,0,0,5,0,0,747,50,2,0,0,0,3030,59,0,0,50,0,0,900,-1,691,28,50,UDP,0,image/png,18,0,0,50,0,28,-1,168,0,28,1,0,28,18,900,50,1,28,1,1,0,3030,0,0,0,0,1,0,0,0,504,0,0,0,0,0,0,0,5,18,3030,1,0,0,0,0,0,0,0,3030,0,18,0,0,0,1,0,50,18,747,293,0,0,1,0,168,-1,0,28,0,0,0,504,0,1656,0,0,0,0,679,0,50,0,50,0,0,0,0,28,50,28,0,0,0,0,50,50,1,504,0,0,0
147.32.84.165,1046,61.135.189.50,80,CTU13/7,From-Botnet-V48-TCP-Attempt,,,,Unrated,0/Unknown,0,0,0,0,0,0,0,1,0,0,-1,-1,0,48,0,0,48,0,-1,0,-1,48,-1,0,0,0,0,0,-1,0,0,0,0,-1,0,-1,0,192,-1,0,0,-1,0,1,1,-1,0,0,0,1256,0,-1,-1,0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,2901,0,-1,0,0,0,0,2901,0,0,-1,0,0,0,-1,-1,-1,0,TCP,0,-1,0,0,0,-1,0,48,-1,725,0,48,-1,0,-1,4,0,-1,-1,48,-1,-1,0,0,0,0,0,0,1,-1,0,0,0,4,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,2901,0,0,0,-1,0,-1,0,0,4,2901,1256,0,0,-1,0,725,-1,2901,48,0,0,0,0,0,248,4,0,0,0,-1,0,-1,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,-1,1,0,0,0,0
147.32.84.165,1047,220.181.111.147,80,CTU13/7,From-Botnet-V48-TCP-WEB-Established,,,,Acceptable,7/HTTP,0,0,0,0,0,0,0,0,0,0,200,40,20845,48,0,785,40,4,467,40,1,48,-1,92,2,4,0,3,40,0,1,2,272,40,7,0,5,536,0,0,2,1,272,1,1,413,0,5,0,15905,272,-1,0,1,1,0,2,18,0,1,41,615,5,-1,0,0,5,3,318,120,59807,136,2,5,0,0,615,410,0,0,0,5,3,272,-1,1,40,136,TCP,785,image/x-icon,2,0,0,0,0,48,-1,3061,0,41,0,0,40,13,1842,136,2,48,1,0,1,615,1570,523,120,0,1,0,0,0,80,3,120,0,5,0,0,0,3,2,615,1,0,0,0,288,200,2,0,61232,0,2,0,0,48,1,59807,0,20,59807,13019,0,0,0,0,4710,-1,60617,40,0,1570,194,80,3,2946,15,1,0,0,0,1570,136,1570,0,1,0,4,8747,40,0,40,0,0,0,0,136,318,0,80,3,0,2
147.32.84.165,1048,61.135.188.157,80,CTU13/7,From-Botnet-V48-TCP-WEB-Established,,,,Acceptable,7/HTTP,0,0,0,0,0,0,0,0,0,0,200,40,237,48,0,290,40,1,290,40,1,48,-1,43,1,1,0,3,40,0,1,0,276,40,3,0,3,416,108,0,0,1,276,1,1,505,2,3,0,18729,276,-1,0,1,1,0,3,11,0,0,41,505,3,-1,0,0,3,3,290,40,62550,138,2,3,0,0,505,503,0,0,0,3,1,276,-1,0,40,138,TCP,290,text/html,2,0,0,0,0,48,-1,4897,0,41,1,0,40,10,566,138,2,44,1,0,1,505,290,290,40,0,1,0,0,0,80,3,40,0,3,0,0,0,3,2,505,1,0,0,0,124,86,0,0,63666,0,2,0,0,44,1,505,0,13,62550,16643,0,0,0,0,6366,-1,63161,40,0,290,0,80,1,1288,10,1,0,0,0,290,138,290,0,1,0,1,336,40,0,40,0,0,0,0,138,0,0,80,1,0,0
147.32.84.165,1050,123.126.51.33,80,CTU13/7,From-Botnet-V48-TCP-CC108-Plain-HTTP,120,3,3,Acceptable,7/HTTP,0,0,0,0,0,0,0,1,0,1816,0,40,477,48,0,2093,40,2,0,40,1,48,-1,303,0,1,0,2,40,0,1,0,4894,40,21,470,11,3136,0,148,3,1,3114,1,1,469,2,3,0,6786,1631,-1,0,3,1,0,1,97,0,1,40,2962,8,-1,2614,0,13,1,413,160,60448,255,2,7,82,3,8886,467,0,0,0,16,9,634,-1,2,40,322,TCP,2093,-1,5,0,0,0,0,48,-1,740,4,40,1,2,40,78,30083,255,6,44,1,0,0,1885,8396,1325,360,0,1,0,0,809,400,3,253,0,21,0,0,1668,0,10,3838,1,0,0,1,844,540,2,0,73270,1069,2,0,0,44,1,1816,0,99,60448,6035,3,0,1,0,939,-1,64384,40,0,6473,408,213,6,35449,64,0,0,0,0,12093,255,25189,0,1,0,1,604,40,0,40,1,19,1520,135,305,0,0,80,4,0,1
147.32.84.165,1051,209.85.149.160,80,CTU13/7,From-Botnet-V48-TCP-HTTP-Google-Net-Established-7,,,,Safe,7.126/HTTP.Google,0,0,0,0,0,0,0,0,0,0,-1,40,95944,48,0,1345,40,3,1345,40,-1,48,-1,115,3,3,0,3,40,0,0,1,272,40,5,1,4,416,0,0,2,1,272,1,1,24,0,4,0,71982,272,-1,0,1,1,0,3,13,0,0,41,562,4,-1,0,0,4,3,119,80,240006,136,-1,4,0,0,562,25,0,0,0,4,2,272,-1,538,40,136,TCP,1345,-1,2,0,0,0,0,48,-1,16039,0,41,0,0,40,10,1736,136,-1,48,1,0,0,562,1464,732,80,0,1,-1,0,0,80,3,80,0,4,0,0,0,3,2,562,1,0,0,0,208,332,2,0,240595,0,2,0,1,48,1,240007,0,15,240006,59857,0,0,0,0,24059,-1,240033,40,0,1464,613,80,2,2570,11,0,0,0,0,1464,136,1464,0,0,0,3,48119,40,0,40,0,0,0,0,136,119,0,80,2,0,2
147.32.84.165,1052,123.126.51.33,80,CTU13/7,From-Botnet-V48-TCP-CC108-Plain-HTTP,,,,Acceptable,7/HTTP,0,0,0,0,0,0,0,0,0,0,200,40,32339,48,0,1440,40,2,1440,40,1,48,-1,122,1,2,0,4,40,0,1,1,270,40,4,0,3,416,101,0,3,1,270,1,1,470,0,3,0,22434,270,-1,0,1,1,0,3,12,0,0,41,472,3,-1,0,0,3,4,1440,40,74896,135,2,3,0,0,472,470,2,0,0,3,1,270,-1,2,40,135,TCP,1440,image/x-icon,2,0,0,0,0,48,-1,5424,0,41,1,0,40,10,1710,135,2,44,1,0,1,472,1440,1440,40,0,1,0,0,0,80,3,40,0,3,0,0,0,4,2,472,1,0,0,0,164,368,3,0,75939,0,2,0,0,44,1,74997,0,14,74896,19268,0,0,0,0,7593,-1,75467,40,0,1440,0,80,1,2486,11,1,0,0,0,1440,135,1440,0,1,0,2,18984,40,0,40,0,0,0,0,135,0,0,80,1,0,3
147.32.84.165,1053,61.135.188.157,80,CTU13/7,From-Botnet-V48-TCP-WEB-Established,,,,Acceptable,7/HTTP,0,0,0,0,0,0,0,0,0,0,200,40,32329,48,0,290,40,1,290,40,1,48,-1,40,1,1,0,3,40,0,1,1,276,40,4,0,3,416,147,0,0,1,276,1,1,504,0,3,0,22417,276,-1,0,1,1,0,3,12,0,0,41,506,3,-1,0,0,3,3,290,40,74850,138,2,3,0,0,506,503,2,0,0,3,1,276,-1,2,40,138,TCP,290,text/html,2,0,0,0,0,48,-1,5429,0,41,1,0,40,10,566,138,2,44,1,0,1,506,290,290,40,0,1,0,0,0,80,3,40,0,3,0,0,0,3,2,506,1,0,0,0,164,84,0,0,76006,0,2,0,0,44,1,74996,0,14,74849,19254,0,0,0,0,7600,-1,75500,40,0,290,0,80,1,1342,11,1,0,0,0,290,138,290,0,1,0,1,19001,40,0,40,0,0,0,0,138,0,0,80,1,0,0
147.32.84.165,1054,123.126.51.33,80,CTU13/7,From-Botnet-V48-TCP-CC108-Plain-HTTP,,,,Acceptable,7/HTTP,0,0,0,0,0,0,0,1,0,2355,0,40,541,48,0,1460,40,6,0,40,1,48,-1,294,0,0,0,0,40,0,1,0,1640,40,22,1882,6,3296,0,446,9,1,558,1,1,470,2,0,0,7100,546,-1,0,4,1,0,1,102,0,0,40,1597,2,-1,4098,0,3,0,1232,0,64787,270,2,1,152,4,6391,469,0,2,0,12,10,540,-1,3,40,279,TCP,1460,-1,1,0,0,1460,0,48,-1,738,1,40,1,3,40,82,30612,270,7,44,1,0,0,0,9657,1448,400,0,1,0,0,1376,80,3,200,0,7,0,0,1723,0,2,3100,1,0,0,0,884,567,4,0,76817,8,0,0,0,44,1,1885,0,104,64787,6315,1,0,1,0,936,-1,70426,40,0,4380,49,60,5,36248,78,0,0,0,0,14372,270,28972,0,1,0,2,546,40,0,40,3,4,1407,34,273,0,0,0,0,0,0
